Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Game,Platform,Hours,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Degree,GAD_T,SWL_T,SPIN_T
42052.00437,0,0,0,0,1,0,0,0,3,5,5,5,5,0,0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,25,0,-1,1,23,5.0
42052.0068,1,2,2,2,0,1,0,1,3,5,2,5,1,1,1,8.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,0,41,0,-1,8,16,33.0
42052.0386,0,2,2,0,0,3,1,0,2,6,5,2,2,1,1,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,4.0,4.0,2.0,4.0,1,32,1,-1,8,17,31.0
42052.06804,0,0,0,0,0,0,0,0,2,5,5,3,2,1,1,20.0,5.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0,28,1,-1,0,17,11.0
42052.08948,2,1,2,2,2,3,2,2,2,2,4,5,1,1,0,20.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0,19,1,1,14,14,13.0
42052.13119,0,0,0,0,0,1,0,0,3,5,3,3,3,1,0,4.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0,24,1,-1,1,17,13.0
42052.14622,0,0,0,0,0,0,0,0,3,4,4,3,2,1,1,30.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0,29,1,1,0,16,26.0
42052.19737,2,3,2,2,0,1,2,2,2,3,3,3,1,1,0,2.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,1.0,1,23,1,-1,12,12,55.0
42052.22995,2,1,2,2,2,1,0,1,3,3,3,2,2,2,1,25.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,1,27,1,1,10,13,26.0
42052.24204,3,3,3,3,1,3,3,1,5,5,6,6,5,1,1,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1,21,2,1,19,27,6.0
